0.5,1.118,0
0,0,0
1,0,0
1,0.894,0.447
0,0.894,0.447
0.5,0.447,0.224
0,0,0
1,0,0
1,0.894,0.447
0,0.894,0.447
0.5,0.447,0.224
0,0.224,0.671
0.5,0.671,0.894
1,0.224,0.671
1,0.447,1.342
0,0.447,1.342
0.5,0,1.118
1,0.447,1.342
0,0.447,1.342
0.5,0,1.118
0.5,0.224,1.789
1,0,2.236
0,0,2.236
1,0,2.236
0,0,2.236
1,2.236,0
0,2.236,0
1,2.236,0
0,2.236,0
0,1.565,0.224
0.5,1.118,0
0.5,2.012,0.447
1,1.565,0.224
0,0.894,0.447
1,0.894,0.447
1,1.789,0.894
0,1.789,0.894
0.5,1.342,0.671
0,0.894,0.447
1,0.894,0.447
1,1.789,0.894
0,1.789,0.894
0.5,1.342,0.671
0,1.118,1.118
0.5,0.671,0.894
0.5,1.565,1.342
1,1.118,1.118
0,0.447,1.342
1,0.447,1.342
1,1.342,1.789
0,1.342,1.789
0.5,0.894,1.565
0,0.447,1.342
1,0.447,1.342
1,1.342,1.789
0,1.342,1.789
0.5,0.894,1.565
0,0.671,2.012
0.5,0.224,1.789
0.5,1.118,2.236
1,0.671,2.012
0,0,2.236
1,0,2.236
1,0.894,2.683
0,0.894,2.683
0.5,0.447,2.46
0,0,2.236
1,0,2.236
1,0.894,2.683
0,0.894,2.683
0.5,0.447,2.46
0,0.224,2.907
0.5,0.671,3.13
1,0.224,2.907
1,0.447,3.578
0,0.447,3.578
0.5,0,3.354
1,0.447,3.578
0,0.447,3.578
0.5,0,3.354
0.5,0.224,4.025
1,0,4.472
0,0,4.472
1,0,4.472
0,0,4.472
0.5,3.354,0
0,2.236,0
1,2.236,0
1,3.13,0.447
0,3.13,0.447
0.5,2.683,0.224
0,2.236,0
1,2.236,0
1,3.13,0.447
0,3.13,0.447
0.5,2.683,0.224
0,2.46,0.671
0.5,2.012,0.447
0.5,2.907,0.894
1,2.46,0.671
0,1.789,0.894
1,1.789,0.894
1,2.683,1.342
0,2.683,1.342
0.5,2.236,1.118
0,1.789,0.894
1,1.789,0.894
1,2.683,1.342
0,2.683,1.342
0.5,2.236,1.118
0,2.012,1.565
0.5,1.565,1.342
0.5,2.46,1.789
1,2.012,1.565
0,1.342,1.789
1,1.342,1.789
1,2.236,2.236
0,2.236,2.236
0.5,1.789,2.012
0,1.342,1.789
1,1.342,1.789
1,2.236,2.236
0,2.236,2.236
0.5,1.789,2.012
0,1.565,2.46
0.5,1.118,2.236
0.5,2.012,2.683
1,1.565,2.46
0,0.894,2.683
1,0.894,2.683
1,1.789,3.13
0,1.789,3.13
0.5,1.342,2.907
0,0.894,2.683
1,0.894,2.683
1,1.789,3.13
0,1.789,3.13
0.5,1.342,2.907
0,1.118,3.354
0.5,0.671,3.13
0.5,1.565,3.578
1,1.118,3.354
0,0.447,3.578
1,0.447,3.578
1,1.342,4.025
0,1.342,4.025
0.5,0.894,3.801
0,0.447,3.578
1,0.447,3.578
1,1.342,4.025
0,1.342,4.025
0.5,0.894,3.801
0,0.671,4.249
0.5,0.224,4.025
0.5,1.118,4.472
1,0.671,4.249
0,0,4.472
1,0,4.472
1,0.894,4.919
0,0.894,4.919
0.5,0.447,4.696
0,0,4.472
1,0,4.472
1,0.894,4.919
0,0.894,4.919
0.5,0.447,4.696
0,0.224,5.143
0.5,0.671,5.367
1,0.224,5.143
1,0.447,5.814
0,0.447,5.814
0.5,0,5.59
1,0.447,5.814
0,0.447,5.814
0.5,0,5.59
0.5,0.224,6.261
1,0,6.708
0,0,6.708
1,4.472,0
0,4.472,0
1,4.472,0
0,4.472,0
0,3.801,0.224
0.5,3.354,0
0.5,4.249,0.447
1,3.801,0.224
0,3.13,0.447
1,3.13,0.447
1,4.025,0.894
0,4.025,0.894
0.5,3.578,0.671
0,3.13,0.447
1,3.13,0.447
1,4.025,0.894
0,4.025,0.894
0.5,3.578,0.671
0,3.354,1.118
0.5,2.907,0.894
0.5,3.801,1.342
1,3.354,1.118
0,2.683,1.342
1,2.683,1.342
1,3.578,1.789
0,3.578,1.789
0.5,3.13,1.565
0,2.683,1.342
1,2.683,1.342
1,3.578,1.789
0,3.578,1.789
0.5,3.13,1.565
0,2.907,2.012
0.5,2.46,1.789
0.5,3.354,2.236
1,2.907,2.012
0,2.236,2.236
1,2.236,2.236
1,3.13,2.683
0,3.13,2.683
0.5,2.683,2.46
0,2.236,2.236
1,2.236,2.236
1,3.13,2.683
0,3.13,2.683
0.5,2.683,2.46
0,2.46,2.907
0.5,2.012,2.683
0.5,2.907,3.13
1,2.46,2.907
0,1.789,3.13
1,1.789,3.13
1,2.683,3.578
0,2.683,3.578
0.5,2.236,3.354
0,1.789,3.13
1,1.789,3.13
1,2.683,3.578
0,2.683,3.578
0.5,2.236,3.354
0,2.012,3.801
0.5,1.565,3.578
0.5,2.46,4.025
1,2.012,3.801
0,1.342,4.025
1,1.342,4.025
1,2.236,4.472
0,2.236,4.472
0.5,1.789,4.249
0,1.342,4.025
1,1.342,4.025
1,2.236,4.472
0,2.236,4.472
0.5,1.789,4.249
0,1.565,4.696
0.5,1.118,4.472
0.5,2.012,4.919
1,1.565,4.696
0,0.894,4.919
1,0.894,4.919
1,1.789,5.367
0,1.789,5.367
0.5,1.342,5.143
0,0.894,4.919
1,0.894,4.919
1,1.789,5.367
0,1.789,5.367
0.5,1.342,5.143
0,1.118,5.59
0.5,0.671,5.367
0.5,1.565,5.814
1,1.118,5.59
0,0.447,5.814
1,0.447,5.814
1,1.342,6.261
0,1.342,6.261
0.5,0.894,6.037
0,0.447,5.814
1,0.447,5.814
1,1.342,6.261
0,1.342,6.261
0.5,0.894,6.037
0,0.671,6.485
0.5,0.224,6.261
0.5,1.118,6.708
1,0.671,6.485
0,0,6.708
1,0,6.708
0.5,5.59,0
0,4.472,0
1,4.472,0
1,5.367,0.447
0,5.367,0.447
0.5,4.919,0.224
0,4.472,0
1,4.472,0
1,5.367,0.447
0,5.367,0.447
0.5,4.919,0.224
0,4.696,0.671
0.5,4.249,0.447
0.5,5.143,0.894
1,4.696,0.671
0,4.025,0.894
1,4.025,0.894
1,4.919,1.342
0,4.919,1.342
0.5,4.472,1.118
0,4.025,0.894
1,4.025,0.894
1,4.919,1.342
0,4.919,1.342
0.5,4.472,1.118
0,4.249,1.565
0.5,3.801,1.342
0.5,4.696,1.789
1,4.249,1.565
0,3.578,1.789
1,3.578,1.789
1,4.472,2.236
0,4.472,2.236
0.5,4.025,2.012
0,3.578,1.789
1,3.578,1.789
1,4.472,2.236
0,4.472,2.236
0.5,4.025,2.012
0,3.801,2.46
0.5,3.354,2.236
0.5,4.249,2.683
1,3.801,2.46
0,3.13,2.683
1,3.13,2.683
1,4.025,3.13
0,4.025,3.13
0.5,3.578,2.907
0,3.13,2.683
1,3.13,2.683
1,4.025,3.13
0,4.025,3.13
0.5,3.578,2.907
0,3.354,3.354
0.5,2.907,3.13
0.5,3.801,3.578
1,3.354,3.354
0,2.683,3.578
1,2.683,3.578
1,3.578,4.025
0,3.578,4.025
0.5,3.13,3.801
0,2.683,3.578
1,2.683,3.578
1,3.578,4.025
0,3.578,4.025
0.5,3.13,3.801
0,2.907,4.249
0.5,2.46,4.025
0.5,3.354,4.472
1,2.907,4.249
0,2.236,4.472
1,2.236,4.472
1,3.13,4.919
0,3.13,4.919
0.5,2.683,4.696
0,2.236,4.472
1,2.236,4.472
1,3.13,4.919
0,3.13,4.919
0.5,2.683,4.696
0,2.46,5.143
0.5,2.012,4.919
0.5,2.907,5.367
1,2.46,5.143
0,1.789,5.367
1,1.789,5.367
1,2.683,5.814
0,2.683,5.814
0.5,2.236,5.59
0,1.789,5.367
1,1.789,5.367
1,2.683,5.814
0,2.683,5.814
0.5,2.236,5.59
0,2.012,6.037
0.5,1.565,5.814
0.5,2.46,6.261
1,2.012,6.037
0,1.342,6.261
1,1.342,6.261
1,2.236,6.708
0,2.236,6.708
0.5,1.789,6.485
0,1.342,6.261
1,1.342,6.261
1,2.236,6.708
0,2.236,6.708
0.5,1.789,6.485
0.5,1.118,6.708
1,6.708,0
0,6.708,0
1,6.708,0
0,6.708,0
0,6.037,0.224
0.5,5.59,0
0.5,6.485,0.447
1,6.037,0.224
0,5.367,0.447
1,5.367,0.447
1,6.261,0.894
0,6.261,0.894
0.5,5.814,0.671
0,5.367,0.447
1,5.367,0.447
1,6.261,0.894
0,6.261,0.894
0.5,5.814,0.671
0,5.59,1.118
0.5,5.143,0.894
0.5,6.037,1.342
1,5.59,1.118
0,4.919,1.342
1,4.919,1.342
1,5.814,1.789
0,5.814,1.789
0.5,5.367,1.565
0,4.919,1.342
1,4.919,1.342
1,5.814,1.789
0,5.814,1.789
0.5,5.367,1.565
0,5.143,2.012
