0,8
1,8
2,8
3,8
4,8
5,8
6,8
7,8
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
18,26
19,26
20,26
21,26
22,26
23,26
24,26
25,26
27,35
28,35
29,35
30,35
31,35
32,35
33,35
34,35
36,44
37,44
38,44
39,44
40,44
41,44
42,44
43,44
45,53
46,53
47,53
48,53
49,53
50,53
51,53
52,53
54,62
55,62
56,62
57,62
58,62
59,62
60,62
61,62
63,71
64,71
65,71
66,71
67,71
68,71
69,71
70,71
72,80
73,80
74,80
75,80
76,80
77,80
78,80
79,80
81,89
82,89
83,89
84,89
85,89
86,89
87,89
88,89
90,98
91,98
92,98
93,98
94,98
95,98
96,98
97,98
99,107
100,107
101,107
102,107
103,107
104,107
105,107
106,107
108,116
109,116
110,116
111,116
112,116
113,116
114,116
115,116
117,125
118,125
119,125
120,125
121,125
122,125
123,125
124,125
126,134
127,134
128,134
129,134
130,134
131,134
132,134
133,134
135,143
136,143
137,143
138,143
139,143
140,143
141,143
142,143
144,152
145,152
146,152
147,152
148,152
149,152
150,152
151,152
153,161
154,161
155,161
156,161
157,161
158,161
159,161
160,161
162,170
163,170
164,170
165,170
166,170
167,170
168,170
169,170
171,179
172,179
173,179
174,179
175,179
176,179
177,179
178,179
180,188
181,188
182,188
183,188
184,188
185,188
186,188
187,188
189,197
190,197
191,197
192,197
193,197
194,197
195,197
196,197
198,206
199,206
200,206
201,206
202,206
203,206
204,206
205,206
207,215
208,215
209,215
210,215
211,215
212,215
213,215
214,215
216,224
217,224
218,224
219,224
220,224
221,224
222,224
223,224
225,233
226,233
227,233
228,233
229,233
230,233
231,233
232,233
234,242
235,242
236,242
237,242
238,242
239,242
240,242
241,242
